Index,Are you self-employed?,"If you have been diagnosed or treated for a mental health disorder, do you ever reveal this to clients or business contacts?","If you have revealed a mental health issue to a client or business contact, do you believe this has impacted you negatively?",Is your anonymity protected if you choose to take advantage of mental health or substance abuse treatment resources provided by your employer?,Do you think that discussing a mental health disorder with your employer would have negative consequences?,"If you have been diagnosed or treated for a mental health disorder, do you ever reveal this to coworkers or employees?",Would you feel comfortable discussing a mental health disorder with your coworkers?,Would you bring up a mental health issue with a potential employer in an interview?,Do you feel that being identified as a person with a mental health issue would hurt your career?,Do you think that team members/co-workers would view you more negatively if they knew you suffered from a mental health issue?
1071,0,,,Yes,Yes,,Yes,No,"Yes, I think it would","No, I don't think they would"
1072,0,,,No,No,,No,No,Maybe,"No, I don't think they would"
1073,0,,,I don't know,Yes,,No,No,"Yes, I think it would","Yes, I think they would"
1074,0,,,Yes,Yes,,No,No,"Yes, I think it would","Yes, I think they would"
1075,1,"No, because it doesn't matter",I'm not sure,,,Maybe,,Maybe,"No, I don't think it would","No, I don't think they would"
1076,0,,,Yes,Maybe,,Maybe,No,Maybe,"No, I don't think they would"
1077,1,"Sometimes, if it comes up",I'm not sure,,,Maybe,,Maybe,Maybe,Maybe
1078,0,,,I don't know,No,,Maybe,Maybe,Maybe,Maybe
1079,1,"No, because it would impact me negatively",I'm not sure,,,No,,No,"Yes, I think it would","Yes, I think they would"
1080,0,,,I don't know,Maybe,,No,No,"Yes, I think it would",Maybe
1081,0,,,I don't know,Maybe,,Maybe,No,"Yes, it has","Yes, I think they would"
1082,0,,,I don't know,Maybe,,No,Maybe,"Yes, I think it would","No, I don't think they would"
1083,0,,,I don't know,Maybe,,No,No,"Yes, I think it would","Yes, I think they would"
1084,0,,,I don't know,Yes,,No,No,"Yes, I think it would","Yes, I think they would"
1085,1,"No, because it doesn't matter",Yes,,,"No, because it doesn't matter",,No,"Yes, I think it would","Yes, I think they would"
1086,0,,,I don't know,Maybe,,No,Maybe,"No, I don't think it would","No, I don't think they would"
1087,1,Not applicable to me,,,,Not applicable to me,,No,"Yes, I think it would","Yes, I think they would"
1088,0,,,I don't know,No,,Yes,No,"No, I don't think it would","No, they do not"
1089,1,"No, because it doesn't matter",No,,,Maybe,,Maybe,Maybe,Maybe
1090,1,"Sometimes, if it comes up",I'm not sure,,,"No, because it doesn't matter",,No,"Yes, it has","Yes, I think they would"
